City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,ko pha ngan,9.7578,100.0291,25.44,78,55,3.34,TH,1701450065
151,vila do maio,15.1333,-23.2167,28.44,79,100,4.04,CV,1701450065
152,hamilton,39.1834,-84.5333,8.33,95,100,4.63,US,1701450048
153,papatowai,-46.5619,169.4708,6.44,98,63,1.07,NZ,1701450065
154,hanzhong,33.0728,107.0303,6.34,54,76,1.2,CN,1701450066
155,qaqortoq,60.7167,-46.0333,0.06,99,100,2.29,GL,1701450066
156,kavaratti,10.5669,72.642,28.68,72,72,4.59,IN,1701450066
157,inarajan village,13.2736,144.7484,28.08,92,21,8.88,GU,1701450067
158,tlahualilo de zaragoza,26.1167,-103.45,18.9,33,16,1.62,MX,1701450067
159,hinton,53.4001,-117.5857,-5.54,76,100,2.25,CA,1701449909
160,timbuktu,16.7735,-3.0074,32.9,11,57,2.88,ML,1701450068
161,mogocha,53.7333,119.7667,-22.3,97,37,1.44,RU,1701450068
162,georgetown,5.4112,100.3354,26.68,97,40,1.54,MY,1701449858
163,punta arenas,-53.15,-70.9167,10.06,44,40,10.8,CL,1701450068
164,luganville,-15.5333,167.1667,25.27,93,100,1.15,VU,1701450069
165,pana,39.3889,-89.0801,7.21,98,100,2.24,US,1701450069
166,thunder bay,48.4001,-89.3168,-8.01,79,75,0.51,CA,1701449878
167,vilyuchinsk,52.9306,158.4028,-5.85,87,46,5.06,RU,1701450069
168,zavetnoye,47.1194,43.8903,9.43,78,100,10.02,RU,1701450070
169,east london,-33.0153,27.9116,22.52,73,0,10.8,ZA,1701450070
170,alpine,32.835,-116.7664,13.63,96,0,1.34,US,1701450070
171,senillosa,-39.0,-68.4167,26.88,14,0,12.86,AR,1701450070
172,port alfred,-33.5906,26.891,20.1,87,18,4.47,ZA,1701450071
173,bella vista,36.4295,-94.2316,10.55,92,100,5.14,US,1701449849
174,az zuwaytinah,30.9522,20.1202,21.06,47,0,1.44,LY,1701450071
175,kruisfontein,-34.0033,24.7314,20.49,80,92,8.15,ZA,1701450072
176,west island,-12.1568,96.8225,25.99,69,75,5.66,CC,1701450072
177,saint george's,12.0564,-61.7485,27.55,75,7,6.6,GD,1701450072
178,rocha,-34.4833,-54.3333,29.59,60,100,5.89,UY,1701450072
179,syktyvkar,61.6764,50.8099,-8.15,100,75,2.0,RU,1701450073
180,lihue,21.9789,-159.3672,22.58,90,55,1.61,US,1701450073
181,merelani,-3.5618,36.979,26.1,69,40,0.0,TZ,1701450073
182,kingston,17.997,-76.7936,31.25,64,20,7.72,JM,1701449758
183,lincoln,40.8,-96.667,1.21,74,0,5.14,US,1701449955
184,sarupathar,26.1984,93.8094,17.47,74,6,1.17,IN,1701450075
185,sept-iles,50.2001,-66.3821,3.36,75,20,4.92,CA,1701450075
186,laojunmiao,39.8333,97.7333,-5.6,25,16,1.4,CN,1701450076
187,coihueco,-36.6167,-71.8333,15.41,67,75,4.12,CL,1701450076
188,melfort,52.8667,-104.6177,-8.93,79,9,4.12,CA,1701450076
189,patacamaya,-17.2333,-67.9167,13.46,55,97,2.63,BO,1701450077
190,fort bragg,35.139,-79.006,14.9,64,75,2.06,US,1701449603
191,fisterra,42.9049,-9.2629,12.08,66,43,9.36,ES,1701450077
192,severo-yeniseyskiy,60.3725,93.0408,-8.57,98,100,1.34,RU,1701450077
193,itaituba,-4.2761,-55.9836,34.09,52,20,2.06,BR,1701450078
194,bilibino,68.0546,166.4372,-16.85,70,85,1.1,RU,1701450078
195,arteche,12.2645,125.4048,26.12,89,84,4.79,PH,1701450079
196,okha,53.5739,142.9478,-9.34,87,100,7.39,RU,1701450079
197,lospalos,-8.5186,127.0025,22.87,82,88,0.14,TL,1701450080
198,codrington,-38.2667,141.9667,14.25,80,100,6.23,AU,1701450080
199,talnakh,69.4865,88.3972,-19.89,91,88,1.36,RU,1701450080
200,zaragoza,41.6561,-0.8773,11.12,52,20,6.17,ES,1701449968
201,keflavik,64.0049,-22.5624,-0.76,80,40,4.63,IS,1701450081
202,petropavlovsk-kamchatsky,53.0452,158.6483,-6.67,81,0,7.6,RU,1701450082
203,daru,-9.0763,143.2092,24.51,95,70,1.38,PG,1701450082
204,puerto aysen,-45.4,-72.7,7.44,100,100,2.45,CL,1701450083
205,voss,60.623,6.4229,-8.86,85,80,1.81,NO,1701450083
206,buka,40.8108,69.1986,9.45,71,74,2.25,UZ,1701450084
207,bull savanna,17.8868,-77.5902,30.18,49,56,5.81,JM,1701450084
208,serenje,-13.2325,30.2352,17.19,93,70,1.99,ZM,1701450085
209,shoreham-by-sea,50.8341,-0.2743,2.19,81,40,3.09,GB,1701450085
210,dunedin,-45.8742,170.5036,11.0,82,88,2.68,NZ,1701450054
211,akureyri,65.6835,-18.0878,-3.04,86,100,0.0,IS,1701450087
212,qui nhon,13.7667,109.2333,23.26,97,100,1.54,VN,1701450087
213,avarua,-21.2078,-159.775,25.03,83,100,5.14,CK,1701450088
214,kadisehri,39.9957,35.7919,9.18,65,88,1.57,TR,1701450088
215,el nido,11.1858,119.3956,28.9,78,66,10.44,PH,1701450088
216,ketchikan,55.3422,-131.6461,5.19,88,100,4.19,US,1701450089
217,pierre,44.3683,-100.351,-1.75,79,100,1.79,US,1701450070
218,nizhneangarsk,55.7833,109.55,-11.67,93,100,1.79,RU,1701450090
219,mount darwin,-16.7725,31.5838,24.2,50,99,1.66,ZW,1701450091
220,queenstown,-31.8976,26.8753,26.47,15,1,2.36,ZA,1701450091
221,puerto ayora,-0.7393,-90.3518,28.98,91,96,3.58,EC,1701450092
222,tolanaro,-25.0319,46.9987,21.04,88,75,2.57,MG,1701450094
223,lanark,55.6737,-3.7817,-2.1,88,16,0.73,GB,1701450096
224,kaifeng,34.7911,114.3483,1.18,33,1,3.93,CN,1701450098
225,ghanzi,-21.5667,21.7833,31.33,20,21,6.32,BW,1701450098
226,bentiu,9.2333,29.8333,30.58,26,75,1.29,SS,1701450101
227,casteljaloux,44.3176,0.0861,8.95,98,100,0.45,FR,1701450102
228,yuzhno-kurilsk,44.0306,145.8556,1.32,64,100,12.31,RU,1701450103
229,vorkuta,67.5,64.0,-14.34,91,100,1.7,RU,1701450104
230,maryville,35.7565,-83.9705,11.15,95,100,1.79,US,1701450105
231,taos,36.4072,-105.5731,2.53,92,100,6.17,US,1701450002
232,santiago juxtlahuaca,17.3333,-98.0167,23.03,41,95,1.03,MX,1701450106
233,inirida,3.8653,-67.9239,33.06,49,99,0.69,CO,1701450107
234,mogadishu,2.0371,45.3438,27.24,75,77,5.85,SO,1701450108
235,minas de marcona,-15.2119,-75.1103,20.38,56,99,7.37,PE,1701450108
236,boguchany,58.3814,97.4531,-7.86,96,100,1.34,RU,1701450110
237,hermanus,-34.4187,19.2345,18.68,70,21,4.06,ZA,1701450110
238,wailua homesteads,22.0669,-159.378,22.24,93,62,2.96,US,1701450112
239,lorengau,-2.0226,147.2712,26.39,84,96,1.71,PG,1701450113
240,invercargill,-46.4,168.35,4.28,99,95,0.99,NZ,1701450113
241,zlatni pyasatsi,43.285,28.0418,14.92,75,99,3.09,BG,1701450113
242,lethem,3.3803,-59.7968,36.36,33,95,5.43,GY,1701450114
243,trancas,-26.2314,-65.2803,35.14,39,6,2.48,AR,1701450114
244,santa elena de uairen,4.6167,-61.1333,28.07,42,100,1.56,VE,1701450114
245,teguise,29.0605,-13.564,20.12,78,40,4.63,ES,1701450114
246,garden city,42.3256,-83.331,6.14,93,100,4.12,US,1701450077
247,nouadhibou,20.931,-17.0347,24.99,69,84,3.09,MR,1701450114
248,argo,37.6333,22.7333,18.77,83,100,3.65,GR,1701450114
249,lerwick,60.1545,-1.1494,3.0,70,28,2.78,GB,1701449941
250,puerto maldonado,-12.6,-69.1833,26.22,89,100,2.06,PE,1701450115
251,rampachodavaram,17.45,81.7667,23.95,74,61,1.56,IN,1701450115
252,fort mcmurray,56.7268,-111.381,-17.23,85,0,2.57,CA,1701450115
253,al jawf,29.5,38.75,18.26,43,0,4.58,SA,1701450115
254,nabire,-3.3667,135.4833,24.06,93,96,0.87,ID,1701450115
255,borogontsy,62.6683,131.1683,-33.53,99,100,1.75,RU,1701450115
256,afaahiti,-17.75,-149.2833,25.93,86,49,8.66,PF,1701450115
257,dubbo,-32.25,148.6167,18.07,94,100,1.54,AU,1701449994
258,breckenridge,32.7557,-98.9023,11.59,50,0,3.23,US,1701450116
259,turuntayevo,52.2,107.6167,-21.95,95,40,0.79,RU,1701450116
260,porto velho,-8.7619,-63.9039,33.03,52,40,1.54,BR,1701450096
261,kiunga,-6.1219,141.2906,23.32,100,100,0.39,PG,1701450116
262,mandiana,10.6333,-8.6833,35.0,24,89,1.4,GN,1701450116
263,opuwo,-18.0607,13.84,27.45,38,100,3.62,,1701450111
264,saldanha,-33.0117,17.9442,22.03,74,44,4.08,ZA,1701450117
265,beloyarskiy,63.7119,66.6722,-18.56,98,73,1.28,RU,1701450117
266,tarinkot,32.6268,65.8733,9.98,48,0,0.72,AF,1701450117
267,tubarjal,30.4999,38.216,19.06,41,0,1.89,SA,1701450117
268,pisco,-13.7,-76.2167,23.9,68,0,4.12,PE,1701450117
269,rakops,-21.0167,24.3333,31.64,20,6,3.19,BW,1701450117
270,cam pha mines,21.0167,107.3,17.98,77,100,3.44,VN,1701450117
271,darwin,-12.4611,130.8418,27.99,77,48,2.06,AU,1701450035
272,san ignacio de velasco,-16.3667,-60.95,34.38,39,14,4.95,BO,1701450118
273,hithadhoo,-0.6,73.0833,27.54,77,83,3.62,MV,1701450118
274,parsons,37.3403,-95.2611,4.43,81,100,4.02,US,1701450118
275,bogale,16.2833,95.4,24.08,75,70,2.71,MM,1701449855
276,mandera,3.9366,41.867,31.14,35,8,3.95,KE,1701450118
277,parry sound,45.3501,-80.033,2.03,64,77,0.75,CA,1701450119
278,svetlyy,54.675,20.1347,2.2,80,100,3.87,RU,1701450119
279,kristiansund,63.1115,7.732,-1.64,86,75,0.51,NO,1701450119
280,villa gesell,-37.2639,-56.973,20.94,93,100,6.48,AR,1701450119
281,atar,20.5169,-13.0499,29.23,20,73,3.88,MR,1701450120
282,kenora,49.8167,-94.4337,-4.46,93,75,4.12,CA,1701449888
283,afonso bezerra,-5.4983,-36.5056,37.07,26,15,3.43,BR,1701450120
284,vila velha,-20.3297,-40.2925,33.97,62,20,10.29,BR,1701450053
285,misratah,32.3754,15.0925,23.21,29,23,5.54,LY,1701449951
286,puerto baquerizo moreno,-0.9,-89.6,26.55,83,75,7.72,EC,1701450121
287,ushtobe,45.2514,77.9838,4.57,62,71,3.64,KZ,1701450121
288,zhezqazghan,47.7833,67.7667,0.39,53,100,3.38,KZ,1701450121
289,coquimbo,-29.9533,-71.3436,17.85,72,75,4.12,CL,1701449904
290,pamandzi,-12.7967,45.2794,28.88,74,75,3.6,YT,1701450121
291,kununurra,-15.7667,128.7333,27.99,74,95,0.0,AU,1701449828
292,rio grande,-32.035,-52.0986,29.06,70,35,5.79,BR,1701450122
293,alta,69.9689,23.2717,-6.41,83,75,5.14,NO,1701450122
294,hawkinsville,32.2838,-83.4721,20.13,68,100,4.19,US,1701450122
295,susuman,62.7833,148.1667,-22.56,99,100,1.72,RU,1701450123
296,basse-terre,16.1667,-61.6667,28.58,62,20,7.2,GP,1701450008
297,maunabo,18.0072,-65.8993,31.18,80,25,7.0,PR,1701450124
298,axim,4.8699,-2.2405,28.6,76,67,3.5,GH,1701450124
299,bamboo flat,11.7,92.7167,28.05,83,75,3.6,IN,1701450124
300,weno,7.4515,151.8468,28.03,77,68,5.61,FM,1701450125
301,gakem,6.7658,8.9881,31.36,45,75,2.19,NG,1701450125
